id,displayBadges,highlight,reason_cooling,reason_pressureRelief,reason_motionIsolation,reason_support,reason_plush,reason_medium,reason_firm,reason_durability,reason_default,topPickReason,differentiator1Title,differentiator1Detail,differentiator2Title,differentiator2Detail,storyHeadline,storyNarrative,trialCue,proof1Title,proof1Cue,proof2Title,proof2Cue,constructionComfort,constructionSupport
g1,Fibras Naturales de Lujo|Firme|Euro-Top,Lujo firme artesanal en lana Merino y cachemira,,,,,,,,,"Lana Merino, cachemira y látex de grafito sobre múltiples capas de resortes — soporte firme que respira y dura.",Lujo artesanal de fibras naturales con soporte firme de doble resorte que respira.,Capas de confort de fibras naturales,"La lana Merino, el pelo de camello y la cachemira respiran y regulan el calor como las espumas sintéticas no pueden.",Doble resorte con látex de grafito,Elevación receptiva y estabilidad en lugar del hundimiento lento de la espuma viscoelástica.,"Materiales naturales, soporte arquitectónico.","Lana Merino, pelo de camello, cachemira y látex de grafito crean una experiencia a medida de fibras naturales sobre capas de resortes.",Acuéstate boca arriba y nota cómo la superficie te sostiene antes de ceder.,Confort de fibras naturales,"Muestra los materiales de confort: lana, pelo de camello y cachemira.",Soporte receptivo en capas,Gira una vez y siente la respuesta elástica del látex sobre varias capas de resortes.,"Lana Merino, pelo de camello, cachemira y látex de grafito",Varias capas de resortes
g2,Fibras Naturales de Lujo|Suave|Euro-Top,,,,,,,,,,Un euro-top suave y profundo de lana y cachemira sobre capas de resortes — suavidad indulgente que nunca pierde su soporte.,,Euro-top suave y profundo,,Relleno natural transpirable,La lana y la cachemira mantienen las capas suaves más frescas que los pillow-tops de espuma densa.,Indulgencia en fibras naturales.,Un euro-top mullido y profundo convierte la lana y la cachemira en una expresión más suave y envolvente del confort artesanal.,Acomódate despacio y deja que el euro-top reciba tu hombro y tu cadera.,Euro-top mullido y profundo,Acomódate en la superficie generosamente acolchada.,Relleno natural transpirable,Muestra la lana y la cachemira bajo el acabado mullido.,Euro-top mullido y profundo con lana y cachemira,
g3,"4,294 Resortes|Firme|Copetudo a Mano","4,294 resortes de soporte firme copetudo a mano",,,,,,,,,"4,294 resortes, lana Merino y construcción copetuda a mano — alineación firme diseñada para durar décadas.","Enorme cantidad de 4,294 resortes con artesanía copetuda a mano para una alineación firme y duradera.","Sistema de 4,294 resortes",Varias veces los resortes de una cama estándar — soporte firme más fino y contorneado.,Construcción copetuda a mano,,Artesanía a la vista.,"El acolchado a mano y 4,294 resortes hacen de la construcción, no de la decoración, la historia de lujo.",Acuéstate a lo ancho y nota lo uniforme que te sostiene.,Construcción acolchada a mano,Señala el acolchado visible que mantiene unidas las capas de confort.,Soporte de resortes de grano fino,Acuéstate a lo ancho y siente la respuesta firme y serena.,Capas de confort acolchadas a mano,"4,294 resortes"
g4,Frescura|Suave|Espuma Viscoelástica,,,,,,,,,,El colchón más fresco de Tempur-Pedic — el material Pure Cool Plus disipa el calor mientras el TEMPUR suave abraza cada curva.,,,,Contorno TEMPUR suave,Se acomoda lentamente alrededor de los puntos de presión en lugar de empujar como los resortes.,Confort fresco que se asienta despacio.,Los materiales frescos moderan el carácter profundamente adaptable del material TEMPUR suave.,Quédate quieto un minuto completo y siente cómo el material se asienta a tu alrededor.,Superficie fresca,Toca la funda antes de acostarte.,Contorno suave TEMPUR,Quédate quieto lo suficiente para sentir cómo el material se asienta gradualmente alrededor del cuerpo.,Funda fresca sobre material TEMPUR suave,
g5,Frescura|Híbrido|Medio,,,,,,,,,,Funda Breeze fresca al tacto y material Pure Cool sobre una base híbrida de resortes — frescura más el verdadero alivio de presión TEMPUR.,,Funda Breeze fresca al tacto,Notablemente más fresco al contacto que los modelos TEMPUR estándar.,Base híbrida de resortes,Agrega ventilación y un toque de respuesta bajo la espuma viscoelástica.,Frescura con elevación receptiva.,La superficie Breeze y el alivio de presión TEMPUR descansan sobre una base híbrida receptiva.,Gira una vez y nota lo fácil que te mueves.,Funda Breeze fresca al tacto,Coloca una mano sobre la superficie y nota la sensación fresca inmediata.,Respuesta de resortes híbrida,Gira o siéntate y nota el movimiento asistido por los resortes.,Funda Breeze sobre material TEMPUR,Base híbrida de resortes
g6,Suave,,,,,,,,,,,,,,,,Lujo natural hecho a mano con acabado mullido.,La capa de confort natural y receptiva del Mayfair se presenta con una sensación mullida y profundamente acolchada.,"Acomódate en la superficie mullida, luego muévete y siente cómo se recupera.",Superficie fresca acolchada a mano,Toca la funda de Tencel y nota el primer contacto suave y fresco.,Confort natural y receptivo,"Presiona y suelta la capa de lana, látex y microrresortes para sentir su rápida recuperación.","Funda de Tencel acolchada a mano sobre lana, látex y microrresortes",Resortes por zonas
g7,Medio,,,,,,,,,,,,,,,,Equilibrio acolchado a mano en materiales naturales.,"Lana, látex, espumas especiales, microrresortes y resortes por zonas crean una sensación media y serena.",Acuéstate de lado y nota la cesión equilibrada y la rápida recuperación.,Superficie fresca acolchada a mano,Toca la funda de Tencel y nota el primer contacto suave y fresco.,Confort natural y receptivo,"Presiona y suelta la capa de lana, látex y microrresortes para sentir su rápida recuperación.","Funda de Tencel acolchada a mano sobre lana, látex y microrresortes",Resortes por zonas
g8,Extra Firme,,,,,,,,,,,,,,,,Lujo natural con una base sin concesiones.,"Una superficie fresca acolchada a mano, lana, látex y microrresortes visten un sistema de soporte decididamente firme.",Acuéstate boca arriba y siente lo poco que cede la superficie.,Confort natural acolchado a mano,Toca la superficie fresca y muestra la lana y el látex debajo.,Soporte extra firme reforzado,Acuéstate por el centro y siente la superficie contenida sobre los resortes por zonas.,"Superficie fresca acolchada a mano sobre lana, látex y microrresortes","Resortes por zonas, extra firmes"
g9,Cushion Firm,,,,,,,,,,,,,,,,Cobre desde la superficie hasta el núcleo de confort.,La tela de cobre y los materiales de confort infundidos con cobre dan a este híbrido cushion-firm una identidad material distintiva.,"Presiona la superficie con la mano, luego acuéstate y siente el acolchado sobre el núcleo firme.",Textil de cobre,Identifica la tela superficial con cobre.,Confort infundido con cobre,Muestra cómo la historia del cobre continúa en los materiales de confort.,Tela de cobre y materiales de confort infundidos con cobre,Resortes híbridos
s1,Marvelous Middle|Firme|Box Top,Box top de lujo de 16 pulgadas con soporte firme zonificado,,,,"Resortes embolsados individualmente que se mueven de forma independiente, zonificados para brindar soporte focalizado, con encapsulado de espuma alrededor del borde.",,,,,El patentado Marvelous Middle brinda 25% más soporte en el tercio central — donde tu cuerpo más lo necesita.,Confort box-top de lujo con soporte firme zonificado en el centro.,Zonificación Marvelous Middle,"25% más soporte bajo caderas y espalda baja, donde la mayoría de las camas se hunden primero.",Construcción box-top de lujo,Un perfil de 16 pulgadas con capas superficiales suaves sobre un núcleo firme.,Un gran box-top con un centro disciplinado.,El perfil alto y a medida ofrece refinamiento en la superficie mientras las zonas centrales aportan la estructura de fondo.,Acuéstate por el centro y siente el soporte firme bajo la capa superior a medida.,Box-top a medida,Nota el perfil de confort terminado antes de asentarte en el núcleo firme.,Zonas Marvelous Middle,Acuéstate por el centro y siente el soporte reforzado bajo las caderas.,Box-top alto y a medida,Zonas centrales Marvelous Middle
