tier,id,name,brand,subBrand,pitchKey,archetype,displayPriority,firmnessScore,firmnessLabel,price,quizTags,displayBadges,highlight,locally-made,features,reason_cooling,reason_pressureRelief,reason_motionIsolation,reason_support,reason_plush,reason_medium,reason_firm,reason_durability,reason_default,topPickReason,differentiator1Title,differentiator1Detail,differentiator2Title,differentiator2Detail,storyHeadline,storyNarrative,trialCue,proof1Title,proof1Cue,proof2Title,proof2Cue,constructionComfort,constructionSupport
gold,g1,The Roma,Chattam & Wells,Roma,,Natural-fiber luxury firm,1,7,Firm,,,Luxury Natural Fibers|Firm|Euro-Top,Handcrafted firm luxury in Merino wool and cashmere,yes,support|firm|durability|hybrid|responsive|zoned,,,,,,,,,"Merino wool, cashmere, and graphite latex over multiple coil layers — firm support that breathes and lasts.","Handcrafted natural-fiber luxury with firm, breathable coil-on-coil support.",Natural fiber comfort layers,"Merino wool, camel hair, and cashmere breathe and temper heat in a way synthetic foams can't.",Coil-on-coil with graphite latex,Responsive lift and stability instead of the slow sink of memory foam.,"Natural materials, architectural support.","Merino wool, camel hair, cashmere and graphite latex create a tailored natural-fiber experience over layered coils.",Lie on your back and notice how the surface supports you before it gives.,Natural-fiber comfort,"Reveal the wool, camel hair and cashmere comfort materials.",Responsive layered support,Roll once and feel the buoyant response of latex over multiple coil layers.,"Merino wool, camel hair, cashmere and graphite latex",Multiple coil layers
gold,g2,The Saint Pierre,Chattam & Wells,Saint Pierre,,Plush natural-fiber luxury,1,3,Plush,,,Luxury Natural Fibers|Plush|Euro-Top,,yes,plush|soft|pressureRelief|durability|hybrid,,,,,,,,,A deep plush euro-top of wool and cashmere over layered coils — indulgent softness that never loses its support.,,Deep plush euro-top,,Breathable natural fill,Wool and cashmere keep the plush layers cooler than dense foam pillow-tops.,Natural-fiber indulgence.,"A deep plush euro-top turns wool and cashmere into a softer, enveloping expression of handcrafted comfort.",Settle in slowly and let the euro-top take your shoulder and hip.,Deep plush euro-top,Settle into the generously cushioned surface.,Breathable natural fill,Reveal the wool and cashmere beneath the plush finish.,Deep plush euro-top with wool and cashmere,
gold,g3,The Palermo,Chattam & Wells,Palermo,,Hand-tufted firm pillowtop,1,7,Firm,,,"4,294 Coils|Firm|Hand-Tufted","4,294 coils of hand-tufted firm support",yes,support|firm|durability|zoned|hybrid,,,,,,,,,"4,294 coils, Merino wool, and a hand-tufted build — firm alignment engineered to hold for decades.","Massive 4,294-coil count with hand-tufted craftsmanship for firm, lasting alignment.","4,294-coil support system","Several times the coil count of a standard bed — finer, more contoured firm support.",Hand-tufted construction,,Craft you can see.,"Hand tufting and 4,294 coils make construction, not decoration, the luxury story.",Lie across the surface and notice how evenly it holds you.,Hand-tufted construction,Point out the visible tufting that holds the comfort layers together.,Fine-grained coil support,Lie across the surface and feel the composed firm response.,Hand-tufted comfort layers,"4,294 coils"
gold,g4,Tempur-LuxeBreeze 2.0 Soft,Tempur-Pedic,LuxeBreeze,,Maximum-cooling soft memory foam,1,2,Soft,,,Cooling|Soft|Memory Foam,,no,cooling|soft|plush|pressureRelief|motionIsolation,,,,,,,,,Tempur-Pedic's coolest mattress — Pure Cool Plus material pulls heat away while soft TEMPUR cradles every curve.,,,,Soft TEMPUR contour,Slowly settles around pressure points instead of pushing back like coils.,"Cool, slow-settling comfort.",Cooling materials temper the deeply conforming character of soft TEMPUR material.,Stay still for a full minute and feel the material settle around you.,Cooling surface,Touch the cover before lying down.,Soft TEMPUR contour,Remain still long enough to feel the material gradually settle around the body.,Cooling cover over soft TEMPUR material,
gold,g5,Tempur-ProBreeze 2.0 Medium Hybrid,Tempur-Pedic,ProBreeze,,Cooling adaptive hybrid,1,5,Medium,,,Cooling|Hybrid|Medium,,no,cooling|medium|hybrid|pressureRelief|support,,,,,,,,,Cool-to-the-touch Breeze cover and Pure Cool material over a hybrid coil base — cooling plus true TEMPUR pressure relief.,,Cool-to-touch Breeze cover,Noticeably cooler on contact than standard TEMPUR models.,Hybrid coil base,Adds airflow and a touch of responsiveness under the memory foam.,Cooling with responsive lift.,The Breeze surface and TEMPUR pressure relief sit over a responsive hybrid foundation.,Roll over once and notice how easily you move.,Cool-to-touch Breeze cover,Place a hand on the surface and notice the immediate cool feel.,Hybrid coil response,Roll or sit up and notice the coil-assisted movement.,Breeze cover over TEMPUR material,Hybrid coil base
gold,g6,Reserve Mayfair Plush,Restonic,Reserve,,,1,3,Plush,,,Plush,,yes,plush|soft|pressureRelief|hybrid|durability,,,,,,,,,,,,,,,Hand-built natural luxury with a plush finish.,The Mayfair's natural and responsive comfort stack is presented with a deeply cushioned plush feel.,"Settle into the plush surface, then move and feel it recover.",Hand-tufted cooling surface,"Touch the Tencel cover and notice the smooth, cool first contact.",Natural responsive comfort,"Press and release the wool, latex and microcoil comfort stack to feel its quick recovery.","Hand-tufted Tencel cover over wool, latex and microcoils",Zoned coils
gold,g7,Reserve Mayfair Medium,Restonic,Reserve,,,1,5,Medium,,,Medium,,yes,medium|support|hybrid|durability|pressureRelief,,,,,,,,,,,,,,,Hand-tufted balance in natural materials.,"Wool, latex, specialty foams, microcoils and zoned coils create a composed medium feel.",Lie on your side and notice the balanced give and quick recovery.,Hand-tufted cooling surface,"Touch the Tencel cover and notice the smooth, cool first contact.",Natural responsive comfort,"Press and release the wool, latex and microcoil comfort stack to feel its quick recovery.","Hand-tufted Tencel cover over wool, latex and microcoils",Zoned coils
gold,g8,Royal Reserve Extra Firm,Restonic,Royal Reserve,,,1,8,Extra Firm,,,Extra Firm,,yes,firm|support|durability|hybrid,,,,,,,,,,,,,,,Natural luxury with an uncompromising foundation.,"A hand-tufted cooling surface, wool, latex and microcoils dress an assertively firm support system.",Lie on your back and feel how little the surface gives.,Hand-tufted natural comfort,Touch the cooling surface and reveal the wool and latex beneath it.,Reinforced extra-firm support,Lie through the center and feel the restrained surface over zoned coils.,"Hand-tufted cooling surface over wool, latex and microcoils","Zoned coils, extra-firm"
gold,g9,Copper Cushion Firm,Spring Air,Copper,,,1,6,Cushion Firm,,,Cushion Firm,,no,cooling|medium|support|hybrid|responsive,,,,,,,,,,,,,,,Copper from surface to comfort core.,Copper fabric and copper-infused comfort materials give this cushion-firm hybrid a distinctive material identity.,"Press a hand into the surface, then lie down and feel the cushion over the firm core.",Copper textile,Identify the copper-bearing surface fabric.,Copper-infused comfort,Reveal how the copper story continues through the comfort materials.,Copper fabric and copper-infused comfort materials,Hybrid coils
silver,s1,Platinum Paige Firm,Restonic,Platinum,,Luxury firm box-top hybrid,1,7,Firm,,,Marvelous Middle|Firm|Box Top,Luxury 16-inch box top with firm zoned support,yes,firm|support|zoned|hybrid|durability,,,,"Individually pocketed coils that move independently, zoned for targeted support, with foam encasement around the edge.",,,,,Patented Marvelous Middle delivers 25% more support in the center third — where your body needs it most.,"Luxury box-top comfort with firm, zoned center-third support.",Marvelous Middle zoning,"25% more support under hips and lower back, where most beds sag first.",Luxury box-top build,A tailored 16-inch profile with plush surface layers over a firm core.,A grand box-top with a disciplined center.,The tall tailored profile delivers surface refinement while center zoning supplies the underlying structure.,Lie through the center and feel the firm support under the tailored top.,Tailored box-top,Notice the finished comfort profile before settling into the firm core.,Marvelous Middle zoning,Lie through the center and feel the reinforced support beneath the hips.,Tall tailored box-top,Marvelous Middle center zoning
